Metro,Megaregion, pop_2010,pop_urban area_2010,urban land area_sq mi,urban_pop_den_sq mi,GDP 2010,total emplpyment,poverty rate,median household income,commute_%public transit,commute_%carpool,commute_%drive,median property value,%home ownership, %Non Hispanic White,%Non Hispanic Black,%Hispanic,%Asian,White-Black dissimilarity index,White-Hispanic dissimilarity index,White-Asian dissimilarity index,Black_White income inequality,Hispanic_White income inequality,Transit Score,Driving Score,Walking Score
"New York-Newark-Jersey City, NY-NJ-PA",1,18897109,18351295,3450.2,5318.9,1343980498,10924348,13.4,78478,30.9,6.28,50.3,457100,51.8,0.49,0.17,0.23,0.11,76.9,62,50.4,0.54,0.52,2.48,31.8,0.57
"Los Angeles-Long Beach-Anaheim, CA",9,12828837,12150996,1736,6999.3,760005079,7244649,14.9,72563,4.8,9.48,75,650300,48.2,0.32,0.07,0.44,0.16,65.2,62.2,45.7,0.54,0.62,0.74,43.4,0.27
"Chicago-Naperville-Elgin, IL-IN-WI",3,9461105,8608208,2442.8,3524,538596641,5470609,12.5,70760,12.1,8.04,69.8,247800,64.8,0.55,0.18,0.21,0.06,75.2,56.3,42.7,0.47,0.66,1.19,30.11,0.33
"Dallas-Fort Worth-Arlington, TX",7,6371773,5121892,1779.1,2878.9,349011892,3929790,12.6,69445,1.32,9.54,80.8,238800,59.1,0.5,0.15,0.28,0.06,55.5,50.3,44.5,0.58,0.61,0.33,45.06,0.17
"Houston-The Woodlands-Sugar Land, TX",7,5946800,4944332,1660,2978.5,378717190,3435171,14.2,65394,1.97,9.41,81,204700,60.3,0.4,0.17,0.35,0.07,60.6,52.5,48.7,0.58,0.57,0.47,43,0.22
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,5582170,4586770,1321.7,3470.3,432841197,3878945,8.05,102180,13,9.2,65.8,433200,63.5,0.49,0.27,0.14,0.1,61,48.3,36.9,0.6,0.61,1.73,43.04,0.46
"Miami-Fort Lauderdale-Pompano Beach, FL",6,5564635,5502379,1238.6,4442.4,256952064,3125007,15.4,56328,3.14,9.16,77.7,298800,59.9,0.35,0.2,0.42,0.03,64,57.4,32.7,0.62,0.7,0.64,43.97,0.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,5965343,5441567,1981.4,2746.4,354539138,3410339,12.6,70747,9.82,7.25,72.3,256400,66.6,0.65,0.21,0.08,0.05,67,55.1,40.3,0.5,0.51,1.27,36.71,0.37
"Atlanta-Sandy Springs-Alpharetta, GA",5,5268860,4515419,2645.4,1706.9,277407869,3070701,13.1,69464,2.98,8.86,77.3,233700,64,0.51,0.33,0.1,0.05,58.4,49.4,46.2,0.64,0.67,0.31,35.85,0.14
"Phoenix-Mesa-Chandler, AZ",8,4192887,3629114,1146.6,3165.2,181320891,2209907,14.7,64427,1.79,11.2,75.8,267000,63.9,0.59,0.05,0.3,0.04,41.3,49.3,29.9,0.65,0.71,0.52,57.81,0.27
"Boston-Cambridge-Newton, MA-NH",1,4552402,4181019,1873.5,2231.7,340446586,3085620,9.82,88711,13.2,7.04,66.1,464600,60.9,0.75,0.07,0.09,0.07,61.5,59.6,43.4,0.53,0.51,1.95,41.77,0.44
"San Francisco-Oakland-Berkeley, CA",9,4335391,3281212,523.6,6266.4,337490277,756966,9.52,107898,17.3,9.6,57.2,910300,55,0.42,0.09,0.22,0.26,59.3,49.6,44.3,0.4,0.61,3.54,56.45,1.17
"Riverside-San Bernardino-Ontario, CA",9,4224851,1932666,545,3546.4,128316045,1638713,15.9,65671,1.24,10.9,79.8,360300,64.6,0.37,0.08,0.47,0.07,44,42.4,38.2,0.74,0.8,0.28,37.96,0.17
"Detroit-Warren-Dearborn, MI",3,4296250,3734090,1337.2,2792.5,197225821,2258061,15.1,60513,1.32,8.61,83.2,180300,69.1,0.68,0.24,0.04,0.04,74,43.3,46.3,0.52,0.77,0.33,54.82,0.21
"Seattle-Tacoma-Bellevue, WA",10,3439809,3059393,1010.3,3028.2,247946435,245732,9.6,87910,10.7,10,66.1,487400,59.8,0.68,0.07,0.09,0.14,45.6,32.8,33.9,0.57,0.71,1.66,46.51,0.69
"Minneapolis-St. Paul-Bloomington, MN-WI",3,3346859,2650890,1021.8,2594.3,198971102,2213817,8.99,79578,4.5,8.11,77.4,270600,70,0.79,0.08,0.05,0.06,50.2,42.5,39.6,0.44,0.65,1,59.89,0.35
"San Diego-Chula Vista-Carlsbad, CA",9,3095313,2956746,732.4,4037,174419306,197126,12.5,79079,2.65,8.76,76.5,606200,53.1,0.49,0.06,0.32,0.13,48.4,49.6,44.3,0.65,0.65,0.93,62.39,0.48
"Tampa-St. Petersburg-Clearwater, FL",6,2783243,2441770,957,2551.5,119282395,1464392,14.2,54912,1.32,8.97,78.9,210000,64.7,0.68,0.12,0.16,0.04,54.3,40.7,33.1,0.75,0.77,0.58,54.45,0.32
"Denver-Aurora-Lakewood, CO",4,2543482,2374203,668,3554.4,146543910,1637488,9.45,79478,3.79,8.19,75,420600,63.1,0.66,0.06,0.22,0.05,59.4,48.8,30,0.62,0.64,1.5,79.64,0.66
"St. Louis, MO-IL",3,2812896,2150706,923.6,2328.5,144856879,61102,11.9,62790,2.05,6.92,83.6,180700,68.4,0.75,0.19,0.03,0.03,70.6,30.6,40.8,0.55,0.78,0.57,51.52,0.3
"Baltimore-Columbia-Towson, MD",2,2710489,2203663,717,3073.3,160999349,1645096,10.4,80469,5.99,7.96,77,308500,66.7,0.6,0.3,0.05,0.05,64.3,39.8,40.9,0.6,0.78,1.4,62.97,0.54
"Charlotte-Concord-Gastonia, NC-SC",5,1758038,1249442,741.5,1685,114327414,1263077,12.7,62068,1.52,9.39,79.2,215500,65.7,0.61,0.25,0.1,0.04,53.1,47.6,41.2,0.62,0.64,0.76,69.16,0.36
"Orlando-Kissimmee-Sanford, FL",6,2134411,1510516,597.7,2527.3,96455205,1254307,14.7,58610,1.34,10.4,80.3,242500,61,0.53,0.16,0.25,0.05,49.3,40.2,32.3,0.6,0.69,0.48,71.67,0.31
"San Antonio-New Braunfels, TX",7,2142508,1758210,597.1,2944.6,85718321,220156,14.9,57379,1.78,11.2,79.2,182000,62.3,0.36,0.07,0.54,0.03,47.7,46.1,36.1,0.65,0.65,1.05,67.49,0.45
"Portland-Vancouver-Hillsboro, OR-WA",10,2226009,1849898,524.4,3527.8,113419312,176756,11.4,75599,6.12,8.8,70.4,397500,62.4,0.76,0.04,0.11,0.08,40.9,34.3,31.5,0.52,0.73,1.85,67.78,0.7
"Sacramento-Roseville-Folsom, CA",9,2149127,1723634,471,3659.7,101991632,1136573,14.3,73142,2.25,9.15,76.6,415700,60.7,0.56,0.08,0.2,0.14,54.4,38.8,46.8,0.57,0.72,1.1,70.51,0.66
"Pittsburgh, PA",3,2356285,1733853,905.2,1915.5,120786500,1390551,11.5,59710,5.57,8.29,76.6,160300,69.6,0.87,0.09,0.01,0.02,63.1,28.6,48.9,0.55,0.94,1.19,38.56,0.37
"Las Vegas-Henderson-Paradise, NV",9,1951269,1886011,416.8,4524.5,89235263,1056986,14.1,57076,3.27,9.8,78.7,286600,54.2,0.48,0.11,0.29,0.11,35.9,42,26.8,0.61,0.74,0.91,93.22,0.57
"Austin-Round Rock-Georgetown, TX",7,1716289,1362416,523,2604.8,92603380,1082191,11.6,76925,1.86,8.73,76.9,304500,58,0.55,0.08,0.31,0.06,48.4,43.2,38.3,0.62,0.7,1.29,71.77,0.71
"Cincinnati, OH-KY-IN",3,2130151,1624827,787.7,2062.6,108781498,1236429,12.7,62743,1.69,8.2,81.6,173500,65.5,0.82,0.13,0.03,0.02,66.9,36.9,42.2,0.5,0.78,0.59,60.06,0.34
"Kansas City, MO-KS",4,2035334,1519417,677.8,2241.6,104618982,1237277,11,65768,0.912,7.79,83.8,196000,65,0.74,0.13,0.08,0.03,58.6,44.4,34.4,0.54,0.68,1.27,112.94,0.69
"Columbus, OH",3,1836536,1368035,510.5,2680,93355583,1173163,13.7,64052,1.65,8.19,81.3,196700,61.9,0.76,0.16,0.04,0.04,60,41.4,40.1,0.56,0.65,1.13,74.65,0.49
"Indianapolis-Carmel-Anderson, IN",3,1756241,1487483,705.7,2107.7,114028458,1141412,13.2,61022,0.939,8.01,83.4,169200,64.7,0.75,0.16,0.06,0.03,64.5,47.3,38.3,0.51,0.56,0.81,73.71,0.41
"Cleveland-Elyria, OH",3,2077240,1780673,772,2306.7,106513234,53265,14.8,56203,2.72,7.87,81.6,158000,64.4,0.72,0.21,0.05,0.02,72.6,52.3,37.9,0.48,0.68,0.92,63.86,0.42
"San Jose-Sunnyvale-Santa Clara, CA",9,1836911,1664496,286,5820.3,173299778,67506,7.96,124696,3.95,10.3,75.3,1090000,55.7,0.35,0.03,0.28,0.33,38.6,47.6,43,0.54,0.59,1.99,125.91,1.01
"Nashville-Davidson--Murfreesboro--Franklin, TN",5,1589934,969587,563.5,1720.7,86093591,1028788,12.4,65919,0.811,9.22,80.9,261900,65.6,0.74,0.16,0.07,0.03,55,47.9,38.8,0.63,0.68,0.68,51.13,0.4
"Virginia Beach-Norfolk-Newport News, VA-NC",2,1671683,1439666,515.5,2793,85135219,1004002,11.7,65604,1.44,8.49,81.2,254700,60.6,0.57,0.32,0.05,0.04,46.9,32.2,31.4,0.65,0.73,0.64,55.36,0.46
"Providence-Warwick, RI-MA",1,1600852,1190956,545.1,2185.1,72676806,852089,12.5,65083,2.35,8.54,81.3,288700,61.5,0.8,0.05,0.1,0.03,50.8,60.1,36.5,0.62,0.55,1.29,61.66,0.88
"Milwaukee-Waukesha, WI",3,1555908,1376476,545.6,2522.8,85467397,981214,14,60643,2.6,7.51,81.5,222100,60.4,0.69,0.17,0.1,0.03,79.6,57,37.8,0.42,0.57,2.3,86.12,1.01
"Jacksonville, FL",6,1345596,1065219,530.4,2008.5,60507591,746907,13.3,60238,0.943,8.46,80.3,217200,63.5,0.66,0.22,0.07,0.04,52.1,27.6,34.6,0.66,0.87,0.73,66.72,0.4
"Oklahoma City, OK",4,1252987,861505,410.6,2098,60521146,771479,14.4,57485,0.628,8.8,82.9,160900,63.1,0.67,0.12,0.11,0.03,49,47,35.4,0.51,0.68,0.88,75.81,0.64
"Raleigh-Cary, NC",5,1130490,884891,518.1,1707.8,55720094,666828,10.5,75165,0.913,8.88,79,267600,65.1,0.63,0.21,0.1,0.05,41.4,37.1,43.9,0.62,0.56,0.84,104.8,0.79
"Richmond, VA",2,1258251,953556,492.2,1937.5,64989620,737786,11.8,67703,1.7,8.68,81.2,246100,65.6,0.6,0.31,0.05,0.04,51.6,44.9,41,0.58,0.68,1.12,69.21,0.61
"New Orleans-Metairie, LA",6,1167764,899703,251.4,3578.9,92807472,725378,17.5,50301,2.55,9.25,78.6,203800,62.3,0.54,0.34,0.08,0.03,63.3,38.3,45.2,0.46,0.58,1.86,64.8,1.08
"Louisville/Jefferson County, KY-IN",3,1283566,972546,476.7,2040.1,55976671,713517,13.1,57405,1.71,8.46,82.2,178500,66.9,0.79,0.15,0.04,0.02,56.2,38.7,38,0.55,0.69,1.15,73.46,0.54
"Salt Lake City, UT",8,1124197,1021243,277.9,3675.1,64807283,1644561,9.59,73730,3.15,12,74.5,329200,67.4,0.75,0.02,0.17,0.06,34,42.9,27,0.38,0.69,2.6,120.12,1.16
"Hartford-East Hartford-Middletown, CT",1,1212381,924859,516.3,1791.5,87661336,774625,10.1,77258,2.62,7.72,81.2,249800,67.2,0.72,0.11,0.13,0.04,62.3,58.4,35,0.58,0.52,1.77,103.23,0.87
"Buffalo-Cheektowaga, NY",1,1135509,935906,379.9,2463.4,56625348,634444,14.3,56195,3.07,6.82,82.1,155500,65.3,0.8,0.13,0.04,0.03,71,50.7,51,0.46,0.48,1.67,81.62,0.98
"Birmingham-Hoover, AL",5,1128047,749495,529.9,1414.4,50128633,600850,15.2,56409,0.558,8.75,84.8,169400,69.3,0.65,0.29,0.04,0.02,65.2,44.5,43.4,0.61,0.76,0.55,64.6,0.43