category,keywords
'public transportation',"['bus','buses','commuter rail','dart rail','light rail','marta','metro rail','speed rail','station','subway','tri rail','transportation','trail','trails','train','trains','transit','transit plan']"
'driving and traffic',"['drive','driver','drivers','driving','ride','traffic','traffic congestion','traffic issues','traffic problems']"
'job opportunites and economy',"['business','businesses','companies','company','economy','income','income inequality','investment','investments','job','jobs','market','markets','rates','revenue','salary','taxes','tax burden','tax break','tax']"
'education',"['education','school','schools','students','teachers']"
'culture and art',"['architecture','art','arts','artists','concerts','culture','museum','museums','music']"
'recreations',"['nightlife','bars','bar','breweries','clubs','park','parks','restaurant','restaurants','store','stores','shops','shop']"
'climates',"['humidity','heat', 'rain','snow','storm','weather']"
'crime',"['car break','crime','crime problem','criminals','drug addicts','drugs','hate crime','guns','homeless','immigrants','property crime','road rage','weed']"
'government',"['control','cops','election','expansion','funding','government','justice','law','laws','leadership','mayor','officers','police','policies','policy','politicians','power','rent control','rules','service','speed limit']"
'neighbors',"['communities','community','neighbors','newcomers','residents']"
'opportunities',"['opportunities','opportunity','future','growth']"